family,seed,group,target,closure,err_abs,err_rel_tol,cost,wall,cost_fine,wall_fine,value,gate_ens_std,gate_knn,gate_range,gate_conformal,safe_ens_std,safe_knn,safe_range,safe_conformal,gate_discrepancy,safe_discrepancy
opening_step,31002,vclamp_Kf,peak_current,hybrid,143.41882760981156,2.788380408342102,4795.0,0.05543964904572931,82880.0,1.2371444019991031,370.92572588346394,0.4197065192911088,6.55136900186233,159058222.42957088,2.4458086617242594,True,True,False,False,3.563610749032346,False
opening_step,31002,vclamp_Kf,peak_current,emulator,238.45040523862946,4.636005254048966,0.0,0.0010610580444335937,82880.0,1.2371444019991031,275.89414825464604,0.6456515144387258,5.4714146503169,159058222.42957088,5.730277952035858,True,True,False,False,,
opening_step,31002,vclamp_Kf,peak_current,fine,1.5769116430419672e-05,3.065866319244661e-07,82880.0,1.2371444019991031,82880.0,1.2371444019991031,514.3445534932755,,,,,,,,,,
opening_step,31002,vclamp_Kf,time_to_peak,coarse,4.600000000000001,19.999999999999996,1148.0,0.08356068200009759,82880.0,1.2371444019991031,,,,,,,,,,,
opening_step,31002,vclamp_Kf,time_to_peak,medium,0.3500000000000014,1.5217391304347883,4795.0,0.05437859100129572,82880.0,1.2371444019991031,4.950000000000003,,,,,,,,,,
opening_step,31002,vclamp_Kf,time_to_peak,hybrid,0.2876941746966839,1.2508442378116686,4795.0,0.05543964904572931,82880.0,1.2371444019991031,4.887694174696685,1.2401415698916571,6.55136900186233,159058222.42957088,3.462726389461119,True,True,False,False,3.563610749032346,False
opening_step,31002,vclamp_Kf,time_to_peak,emulator,2.811233181827025,12.222752964465322,0.0,0.0010610580444335937,82880.0,1.2371444019991031,7.4112331818270265,5.695546519377644,5.4714146503169,159058222.42957088,34.834015633481286,True,True,False,False,,
opening_step,31002,vclamp_Kf,time_to_peak,fine,0.0,0.0,82880.0,1.2371444019991031,82880.0,1.2371444019991031,4.600000000000001,,,,,,,,,,
opening_step,31002,recovery_Kf,recovery_fraction,coarse,0.2996602991227749,13.104743905679243,1852.0,0.12129020399879664,142030.0,2.0838638530003664,,,,,,,,,,,
opening_step,31002,recovery_Kf,recovery_fraction,medium,0.13763178439968465,6.018913059619404,7364.0,0.082101487001637,142030.0,2.0838638530003664,0.31969924210425216,,,,,,,,,,
opening_step,31002,recovery_Kf,recovery_fraction,hybrid,0.02422202684754632,1.0592776542064684,7364.0,0.0831625450460706,142030.0,2.0838638530003664,0.48155305335148313,1.018608628191667,5.569100472756707,159058222.42957088,5.836093766626491,True,True,False,False,3.51319858750257,False
opening_step,31002,recovery_Kf,recovery_fraction,emulator,0.008880955190338047,0.38838192362448853,0.0,0.0010610580444335937,142030.0,2.0838638530003664,0.46621198169427486,3.505877955309149,5.262757241222962,159058222.42957088,17.575328287974145,True,True,False,False,,
opening_step,31002,recovery_Kf,recovery_fraction,fine,3.1338820427606606e-09,1.3705092640303003e-07,142030.0,2.0838638530003664,142030.0,2.0838638530003664,0.4573310265039368,,,,,,,,,,
opening_step,31002,vclamp_NaT,charge,coarse,1891.9562203156638,10.079429758290178,626.0,0.08118870999896899,59990.0,0.9093269090008107,,,,,,,,,,,
opening_step,31002,vclamp_NaT,charge,medium,443.196136781663,2.3611351477736693,2891.0,0.046187567000743,59990.0,0.9093269090008107,-4197.289901380912,,,,,,,,,,
